NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
100;Fin de Procedimiento;1;Fin proc.
334;Duplicado;0;Duplicado
309;Lista de Reserva;0;Lista Reserva
308;Citación;0;Citación
307;Asignación de Números para el Sorteo;0;Asignación Números para Sorteo
291;Desistimiento;0;Desist.
290;Adjudicación Definitiva;0;Adjud. Defin.
288;Adjudicación Provisional;0;Adjud. Provis.
21;Presentación de Renuncia;0;Present. Renun.
1;Presentación de solicitud de Participación;0;Present. sol. Participación
1;Presentación de solicitud de Reserva de Plaza;0;Present. sol. Reserva Plaza
