NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
100;Fin de Procedimiento;1;Fin proc.
286;Presentación de Solicitud de Desestimiento;0;Present. Sol. Desest.
52;Resolución Desestimiento;0;Resol. Desest.
51;Resolución Denegatoria;0;Resol. Deneg.
50;Resolución Aprobatoria;0;Resol. Aprobatoria
30;Evaluación de la Solicitud;0;Eval. la Sol.
25;Trámite de Audiencia;0;Trám. Audi.
10;Requerimiento Documentación Solicitud;0;Req. Doc. Sol.
1;Presentación de la Solicitud;0;Present. la Sol.
