NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
100;Fin de procedimiento;1;Fin proc.
56;Resolución de Reintegro;1;Resol. Reintegro
52;Resolución de Desistimiento;1;Resol. Desist.
51;Resolución Denegatoria por incumplimiento de requisitos;1;Resol. Deneg. incumplimiento requisitos
43;Propuesta Definitiva Resolución Denegatoria por Falta de Crédito;1;Prop. Defin. Resol. Deneg. Falt. Crédito
286;Presentación de Solicitud de Desistimiento;0;Present. Sol. Desist.
156;Acuerdo de inicio de reintegro;0;Acuerdo inicio reintegro
82;Pago;0;Pag.
70;Comunicación de contratos;0;Comunicación contratos
61;Modificación Resolución Denegatoria;0;Modificación Resol. Deneg.
60;Modificación Resolución Favorable SIN Modificación de Importe;0;Modificación Resol. Favorable SIN Modificación Importe
60;Modificación Resolución Favorable;0;Modificación Resol. Favorable
53;Resolución de Renuncia Parcial;0;Resol. Renun. Parcial
53;Resolución de Renuncia total;0;Resol. Renun. total
50;Resolución Aprobatoria;0;Resol. Aprobatoria
43;Propuesta Definitiva Resolución Denegatoria Incumplimiento de Requisitos;0;Prop. Defin. Resol. Deneg. Incumplimiento Req.
43;Propuesta Definitiva Modificación Resolución Denegatoria;0;Prop. Defin. Modificación Resol. Deneg.
42;Propuesta Modificación Resolución Concesión;0;Prop. Modificación Resol. Conce.
42;Propuesta Modificación Resolución Concesión SIN Modificación de Importe;0;Prop. Modificación Resol. Conce. SIN Modificación Importe
42;Propuesta Definitiva Aprobatoria;0;Prop. Defin. Aprobatoria
41;Propuesta Provisional Resolución Denegatoria Incumplimiento de Requisitos;0;Prop. Provis. Resol. Deneg. Incumplimiento Req.
41;Propuesta Provisional Modificación Resolución Denegatoria;0;Prop. Provis. Modificación Resol. Deneg.
40;Propuesta Provisional Aprobatoria;0;Prop. Provis. Aprobatoria
30;Evaluación de la solicitud;0;Eval. sol.
21;Presentación de renuncia total;0;Present. renuncia total
21;Presentación de renuncia parcial;0;Present. renuncia parcial
10;Requerimiento de datos y/o documentación;0;Req. datos y/o doc.
1;Presentación de solicitud;0;Present. sol.
