NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
100;Fin de procedimiento;1;Fin proc.
51;Resolución de Denegación;1;Resol. Denegación
359;Acuerdo de inicio de Pérdida de derecho al cobro por incumplimiento obligaciones;0;Acuerdo inicio Pérd. derecho cobro incumplimiento obligaciones
359;Acuerdo de inicio de Pérdida de derecho al cobro;0;Acuerdo inicio Pérd. derecho cobro
287;Seguimiento actuaciones verificación de cumplimiento de obligaciones;0;Seguimiento actuaciones verificación cumplimiento obligaciones
286;Presentación Solicitud Desistimiento;0;Present. Sol. Desist.
278;Resolución de pérdida de derecho al cobro por incumplimiento de obligaciones.;0;Resol. pérdida derecho cobro incumplimiento obligaciones.
278;Resolución de pérdida de derecho al cobro.;0;Resol. pérdida derecho cobro.
251;Evaluado y pendiente de valoración;0;Evaluado pendiente valoración
251;Evaluado y Valorado Definitivamente;0;Evaluado Valorado Defin.mente
242;Valoración de proyecto;0;Valoración proyecto
160;Solicitud modificación resolución;0;Sol. modificación res.
156;Procedimiento de Reintegro;0;proc. Reintegro
155;Propuesta de inadmisión de modificación Resolución Concesión;0;Prop. inadmisión modificación Resol. Conce.
155;Propuesta de Inadmisión por duplicidad;0;Prop. Inadm. duplicidad
152;Propuesta de Resolución de Desistimiento;0;Prop. Resol. Desist.
82;Pago anticipo;0;Pag. anticipo
82;Pago liquidación - resto 50%;0;Pag. liquidación - resto 50%
82;Pago final de la liquidación;0;Pag. final la liquidación
70;Justificación del Proyecto;0;Justif. Proyecto
60;Modificación Resolución de Concesión;0;Modificación Resol. Conce.
55;Resolución de inadmisión por duplicidad;0;Resol. inadmisión duplicidad
55;Resolución de inadmisión de modificación Resolución Concesión;0;Resol. inadmisión modificación Resol. Conce.
53;Resolución Renuncia Total;0;Resol. Renun. Total
52;Resolución de Desistimiento Expreso;0;Resol. Desist. Expreso
52;Resolución de Desistimiento Tácito;0;Resol. Desist. Tácito
50;Resolución de Concesión;0;Resol. Conce.
42;Propuesta Definitiva;0;Prop. Defin.
42;Propuesta de Modificación Resolución Concesión;0;Prop. Modificación Resol. Conce.
40;Propuesta de Resolución Provisional;0;Prop. Resol. Provis.
30;Evaluación de Solicitud;0;Eval. Sol.
21;Presentación de Renuncia Total;0;Present. Renun. Total
15;Alegaciones a la pérdida de derecho al cobro;0;Alegaciones la pérdida derecho cobro
15;Alegaciones a la Propuesta Provisional;0;Alegaciones la Prop. Provis.
15;Alegaciones a la pérdida de derecho al cobro por incumplimiento de obligaciones;0;Alegaciones la pérdida derecho cobro incumplimiento obligaciones
10;Requerimiento de Documentación;0;Req. Doc.
1;Presentación de la solicitud;0;Present. sol.
