NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
100;Fin de procedimiento;1;Fin procedimiento
306;Propuesta aprobatoria con sustitución (no pagado);0;Prop. aprobatoria sustitución (no pagado)
287;Seguimiento;0;Seguimiento
286;Presentación Solicitud Desistimiento;0;Present. Sol. Desist.
156;Inicio de procedimiento de reintegro;0;Inic. procedimiento reintegro
155;Propuesta Resolución de inadmisión;0;Prop. Res. inadmisión
82;Pago;0;Pg.
61;Resolución denegatoria con sustitución (no pagado);0;Res. denegatoria sustitución (no pagado)
61;Resolución aprobatoria con sustitución (no pagado);0;Res. aprobatoria sustitución (no pagado)
61;Resolución aprobatoria de sustitución (ya pagado);0;Res. aprobatoria sustitución (ya pagado)
55;Resolución de inadmisión;0;Res. inadmisión
53;Resolución de Renuncia;0;Res. Renuncia
52;Resolución de Desistimiento;0;Res. Desist.
51;Resolución Denegatoria por cuantía de crédito;0;Res. Deneg. cuantía crédito
51;Resolución Desestimatoria por Incumplimiento de Requisitos;0;Res. Desest. Incumplimiento Req.
50;Resolución aprobatoria;0;Res. aprobatoria
43;Propuesta Resolución Denegatoria por falta de presupuesto;0;Prop. Res. Deneg. falta presupuesto
43;Propuesta Resolución Definitiva Desestimatoria por Incumplimiento de Requisitos;0;Prop. Res. Def. Desest. Incumplimiento Req.
42;Propuesta Resolución aprobatoria;0;Prop. Res. aprobatoria
41;Propuesta Resolución Provisional Desestimatoria por Incumplimiento de Requisitos;0;Prop. Res. Prov. Desest. Incumplimiento Req.
40;Propuesta Provisional de Resolución Favorable;0;Prop. Prov. Res. Favorable
30;Evaluación de solicitud;0;Eval. solicitud
30;Evaluación de sustitución;0;Eval. sustitución
25;Trámite de audiencia de propuesta denegatoria;0;Trám. audiencia propuesta denegatoria
25;Trámite audiencia en pérdida de derecho al cobro;0;Trám. audiencia pérdida derecho cobro
21;Presentación de Renuncia;0;Present. Renuncia
11;Presentación de sustitución;0;Present. sustitución
10;Requerimiento documentación solicitud;0;Req. documentación solicitud
1;Presentación de solicitud;0;Present. solicitud
