NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
100;Fin de Procedimiento;1;Fin proc.
340;Evaluado y Pendiente de Valoración;0;Evaluado Pend. Valoración
224;Desestimación Recurso de Alzada;0;Desestimación Recur. Alzada
223;Estimación Recurso Alzada;0;Estimación Recur. Alzada
202;ANULADO - Solicitud Creada por Error;0;ANULADO - Sol. Creada Error
181;Abono;0;Abo.
155;P.R. Inadmisión Solicitud Duplicada;0;P.R. Inadm. Sol. Duplicada
155;P.R. Inadmisión Solicitud Fuera de Plazo;0;P.R. Inadm. Sol. Fuera Plazo
153;P.R. Desistimiento Voluntario Solicitud;0;P.R. Desist. Voluntario Sol.
153;P.R. Renuncia Voluntaria Ayuda;0;P.R. Renun. Voluntaria Ayuda
152;P.R. Desistimiento Requerimiento Documentación;0;P.R. Desist. Req. Doc.
90;Presentación de Recurso de Alzada;0;Present. Recur. Alzada
60;Cambio de condiciones;0;Cambio condiciones
55;Resolución Inadmisión Solicitud Fuera de Plazo;0;Resol. Inadm. Sol. Fuera Plazo
55;Resolución Inadmisión Solicitud Duplicada;0;Resol. Inadm. Sol. Duplicada
53;Resolución Desistimiento Voluntario Solicitud;0;Resol. Desist. Voluntario Sol.
53;Resolución Renuncia Voluntaria Ayuda;0;Resol. Renun. Voluntaria Ayuda
52;Resolución Desistimiento Requerimiento Documentación;0;Resol. Desist. Req. Doc.
51;Resolución Desestimatoria por Incumplimiento de Requisitos;0;Resol. Desest. Incumplimiento Req.
51;Resolución Desestimatoria sin Crédito - Recurso Alzada;0;Resol. Desest. sin Crédito - Recur. Alzada
51;Resolución Desestimatoria por Falta de Crédito;0;Resol. Desest. Falt. Crédito
51;Resolución Desestimatoria Mod. Concesión;0;Resol. Desest. Mod. Conce.
51;Resolución Desestimatoria Incumplimiento Requisitos - Recurso Alzada;0;Resol. Desest. Incumplimiento Req. - Recur. Alzada
51;Resolución Fin del Procedimiento - Causa sobrevenida;0;Resol. Fin proc. - Causa sobrevenida
50;Resolución Estimatoria con Crédito - Recurso Alzada;0;Resol. Estim. Crédito - Recur. Alzada
50;Resolución Estimatoria Mod. Concesión;0;Resol. Estim. Mod. Conce.
50;Resolución Estimatoria;0;Resol. Estim.
43;Propuesta Resolución Desestimatoria por Falta de Crédito;0;Prop. Resol. Desest. Falt. Crédito
43;Propuesta Resolución Desestimatoria por Incumplimiento de Requisitos;0;Prop. Resol. Desest. Incumplimiento Req.
43;Propuesta de Resolución Desestimatoria Incumplimiento Requisitos -Recurso Alzada;0;Prop. Resol. Desest. Incumplimiento Req. -Recur. Alzada
43;Propuesta de Resolución Desestimatoria sin Crédito - Recurso Alzada;0;Prop. Resol. Desest. sin Crédito - Recur. Alzada
43;Propuesta Resolución Fin del Procedimiento - Causa sobrevenida;0;Prop. Resol. Fin proc. - Causa sobrevenida
43;P.R. Desestimatoria Mod. Concesión;0;P.R. Desest. Mod. Conce.
42;P.R. Estimatoria Mod. Concesión;0;P.R. Estim. Mod. Conce.
42;Propuesta de Resolución Estimatoria con Crédito - Recurso Alzada;0;Prop. Resol. Estim. Crédito - Recur. Alzada
42;Propuesta Resolución Estimatoria;0;Prop. Resol. Estim.
30;Evaluación de solicitud;0;Eval. sol.
30;Evaluación Abono;0;Eval. Abo.
25;Trámite Audiencia Evaluación;0;Trám. Audi. Eval.
25;Trámite Audiencia Cambio Condiciones;0;Trám. Audi. Cambio Condiciones
10;Requerimiento Evaluación Abono;0;Req. Eval. Abo.
10;Requerimiento Cambio Condiciones;0;Req. Cambio Condiciones
10;Requerimiento evaluación;0;Req. evaluación
10;Requerimiento de documentación;0;Req. doc.
1;Presentación de solicitud;0;Present. sol.
