NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
100;Fin de procedimiento;1;Fin proc.
43;Propuesta Definitiva Resolución denegatoria por falta de presupuesto;1;Prop. Defin. Resol. denegatoria falta presupuesto
314;Propuesta aprobatoria con subrogación (no pagado);0;Prop. aprobatoria subrogación (no pagado)
306;Propuesta aprobatoria de sustitución sin pago;0;Prop. aprobatoria sustitución sin pago
306;Propuesta denegatoria de sustitución sin pago;0;Prop. denegatoria sustitución sin pago
300;Informe de adecuación del puesto;0;Inf. adecuación puesto
287;Seguimiento primer periodo;0;Seguimiento primer periodo
287;Seguimiento tercer periodo;0;Seguimiento tercer periodo
287;Seguimiento segundo periodo;0;Seguimiento segundo periodo
286;Presentación Solicitud Desistimiento;0;Present. Sol. Desist.
278;Resolución de pérdida de derecho al cobro;0;Resol. pérdida derecho cobro
156;Inicio de procedimiento de reintegro por renuncia;0;Inic. proc. reintegro renuncia
156;Inicio de procedimiento de reintegro tras sustitución;0;Inic. proc. reintegro tras sustitución
156;Inicio procedimiento de reintegro segundo periodo;0;Inic. proc. reintegro segundo periodo
156;Inicio procedimiento de reintegro primer periodo;0;Inic. proc. reintegro primer periodo
156;Inicio procedimiento de reintegro tercer periodo;0;Inic. proc. reintegro tercer periodo
155;Propuesta Resolución de inadmisión;0;Prop. Resol. inadmisión
152;Propuesta Resolución Desistimiento;0;Prop. Resol. Desist.
82;Pago;0;Pag.
62;Resolución aprobatoria con subrogación (no pagado);0;Resol. aprobatoria subrogación (no pagado)
62;Resolución aprobatoria de subrogación (ya pagado);0;Resol. aprobatoria subrogación (ya pagado)
62;Resolución denegatoria con subrogación (no pagado);0;Resol. denegatoria subrogación (no pagado)
61;Resolución denegatoria de sustitución sin pago;0;Resol. denegatoria sustitución sin pago
61;Resolución aprobatoria de sustitución sin pago;0;Resol. aprobatoria sustitución sin pago
61;Resolución aprobatoria de sustitución con pago;0;Resol. aprobatoria sustitución pago
55;Resolución de inadmisión;0;Resol. inadmisión
53;Resolución aceptación de renuncia sin pago;0;Resol. aceptación renuncia sin pago
53;Resolución aceptación de renuncia con pago previo sin intereses;0;Resol. aceptación renuncia pago previo sin intereses
52;Resolución de Desistimiento;0;Resol. Desist.
51;Resolución Denegatoria por Incumplimiento de Requisitos;0;Resol. Deneg. Incumplimiento Req.
51;Resolución Denegatoria por Falta de Presupuesto;0;Resol. Deneg. Falt. Presupuesto
50;Resolución Aprobatoria;0;Resol. Aprobatoria
43;Propuesta Definitiva Resolucion Denegatoria por Incumplimiento Requisitos;0;Prop. Defin. Resol. Deneg. Incumplimiento Req.
42;Propuesta Definitiva de Resolución Aprobatoria;0;Prop. Defin. Resol. Aprobatoria
41;Propuesta Provisional de Resolución Denegatoria;0;Prop. Provis. Resol. Deneg.
40;Propuesta Provisional de Resolución Aprobatoria;0;Prop. Provis. Resol. Aprobatoria
30;Evaluación de la solicitud;0;Eval. sol.
30;Evaluación de sustitución;0;Eval. sustitución
30;Evaluación de subrogación;0;Eval. subrogación
25;Trámite de audiencia;0;Trám. audiencia
25;Trámite audiencia en pérdida de derecho al cobro;0;Trám. audiencia pérdida derecho cobro
25;Trámite de audiencia previo;0;Trám. audiencia previo
25;Trámite de audiencia sustitución;0;Trám. audiencia sustitución
21;Presentación de Renuncia;0;Present. Renun.
12;Presentación de subrogación;0;Present. subrogación
11;Presentación de sustitución;0;Present. sustitución
10;Requerimiento de documentación;0;Req. doc.
1;Presentación de solicitud;0;Present. sol.
