NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
100;Fin de procedimiento;1;Fin proc.
286;Presentación Solicitud Desistimiento;0;Present. Sol. Desist.
265;Inscripción en Registro;0;Inscripción Reg.
55;Resolución de inadmisión;0;Resol. inadmisión
53;Resolución de Renuncia;0;Resol. Renun.
52;Resolución de Desistimiento;0;Resol. Desist.
51;Resolución Denegatoria;0;Resol. Deneg.
50;Resolución aprobatoria e Inscripción;0;Resol. aprobatoria e Inscripción
30;Evaluación e instrucción;0;Eval. e instrucción
25;Trámite de audiencia;0;Trám. audiencia
21;Presentación de Renuncia;0;Present. Renun.
10;Requerimiento documentación solicitud;0;Req. doc. sol.
1;Presentación de solicitud;0;Present. sol.
