NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
202;ANULADO - Solicitud Creada por Error;1;ANULADO - Sol. Creada Error
100;Fin de Procedimiento;1;Fin proc.
51;Resolución Desestimatoria Incumplimiento Requisitos - Recurso Alzada;1;Resol. Desest. Incumplimiento Req. - Recur. Alzada
51;Resolución Desestimatoria sin Crédito - Recurso Alzada;1;Resol. Desest. sin Crédito - Recur. Alzada
506;Barrado - Fin de procedimiento;0;Barrado - Fin proc.
309;Lista Reserva;0;Lista Reserva
223;Estimación Recurso Alzada;0;Estimación Recur. Alzada
181;Abono;0;Abo.
90;Presentación de Recurso de Alzada;0;Present. Recur. Alzada
60;Cambio de Condiciones - Aceptación Expresa;0;Cambio Condiciones - Aceptación Expresa
60;Cambio de condiciones;0;Cambio condiciones
55;Resolución de inadmisión;0;Resol. inadmisión
55;Diligencia de duplicidad de expediente;0;Diligencia duplicidad expediente
55;Diligencia de suspensión;0;Diligencia suspensión
53;Resolución Aceptación Renuncia Ayuda;0;Resol. Aceptación Renun. Ayuda
53;Resolución Aceptación Desistimiento;0;Resol. Aceptación Desist.
52;Resolución de Desistimiento por Duplicidad;0;Resol. Desist. Duplicidad
52;R. Desistimiento de la resolución  de modificación;0;R. Desist. la res. de modificación
52;Resolución de Desistimiento;0;Resol. Desist.
51;Resolución Desestimatoria por Falta de Crédito;0;Resol. Desest. Falt. Crédito
51;Resolución Desestimatoria - Lista Reserva;0;Resol. Desest. - Lista Reserva
51;Resolución Desestimatoria por Incumplimiento de Requisitos;0;Resol. Desest. Incumplimiento Req.
51;Resolución Desestimatoria Mod. Concesión;0;Resol. Desest. Mod. Conce.
51;Resolución Desestimatoria por Incumplimiento de Requisitos - Aceptación Expresa;0;Resol. Desest. Incumplimiento Req. - Aceptación Expresa
50;Resolución Estimatoria con Crédito - Recurso Alzada;0;Resol. Estim. Crédito - Recur. Alzada
50;Resolución Estimatoria de Concesión - Aceptación Expresa;0;Resol. Estim. Conce. - Aceptación Expresa
50;Resolución Estimatoria - Lista Reserva;0;Resol. Estim. - Lista Reserva
50;Resolución Estimatoria de Concesión;0;Resol. Estim. Conce.
50;Resolución Estimatoria Mod. Concesión;0;Resol. Estim. Mod. Conce.
43;IPR Desestimatorio por Falta de Crédito;0;IPR Desestimatorio Falt. Crédito
43;P.R. Desestimatoria Mod. Concesión;0;P.R. Desest. Mod. Conce.
43;IPR Desestimatorio por Incumplimiento de Requisitos;0;IPR Desestimatorio Incumplimiento Req.
43;Propuesta de Resolución Desestimatoria Incumplimiento Requisitos- Recurso Alzada;0;Prop. Resol. Desest. Incumplimiento Req.- Recur. Alzada
43;P.R. Desestimatoria - Lista Reserva ;0;P.R. Desest. - Lista Reserva 
43;Propuesta de Resolución Desestimatoria sin Crédito - Recurso Alzada;0;Prop. Resol. Desest. sin Crédito - Recur. Alzada
43;IPR Desestimatorio por Incumplimiento de Requisitos - Aceptación Expresa;0;IPR Desestimatorio Incumplimiento Req. - Aceptación Expresa
42;IPR Concesión;0;IPR Conce.
42;P.R. Estimatoria Mod. Concesión;0;P.R. Estim. Mod. Conce.
42;IPR Concesión - Aceptación Expresa;0;IPR Conce. - Aceptación Expresa
42;Propuesta de Resolución Estimatoria con Crédito - Recurso Alzada;0;Prop. Resol. Estim. Crédito - Recur. Alzada
42;P.R. Estimatoria - Lista Reserva;0;P.R. Estim. - Lista Reserva
30;Evaluación - Aceptación Expresa;0;Eval. - Aceptación Expresa
30;Evaluación - Lista Reserva;0;Eval. - Lista Reserva
30;Evaluación Abono;0;Eval. Abo.
30;Evaluación de solicitud;0;Eval. sol.
25;Trámite de Audiencia de Inadmisión;0;Trám. Audi. Inadm.
25;Tramite Audiencia Evaluación;0;Tramite Audi. Eval.
25;Trámite Audiencia Recurso Alzada;0;Trám. Audi. Recur. Alzada
25;Trámite Audiencia - Lista Reserva;0;Trám. Audi. - Lista Reserva
25;Tramite Audiencia Evaluación - Aceptación Expresa;0;Tramite Audi. Eval. - Aceptación Expresa
25;Trámite Audiencia Cambio Condiciones;0;Trám. Audi. Cambio Condiciones
10;Requerimiento Cambio Condiciones;0;Req. Cambio Condiciones
10;Requerimiento Recurso Alzada;0;Req. Recur. Alzada
10;Requerimiento de documentación;0;Req. doc.
1;Presentación y Revisión de la solicitud;0;Present. Revisión sol.
