NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
100;Fin de procedimiento;1;Fin proc.
51;Resolución Denegatoria;1;Resol. Deneg.
286;Presentación de solicitud de desistimiento;0;Present. sol. desistimiento
155;Propuesta de resolucion de inadmision;0;Prop. res. inadmision
152;Propuesta de desistimiento;0;Prop. desistimiento
55;Resolucion de inadmision;0;Resol. inadmision
52;Resolucion de desistimiento;0;Resol. desistimiento
50;Resolución de Concesión;0;Resol. Conce.
43;Propuesta Definitiva Resolución Denegatoria;0;Prop. Defin. Resol. Deneg.
42;Propuesta Definitiva de Resolución de Concesión;0;Prop. Defin. Resol. Conce.
41;Propuesta Provisional de Resolución Denegatoria;0;Prop. Provis. Resol. Deneg.
40;Propuesta Provisional de Resolución de Concesión;0;Prop. Provis. Resol. Conce.
30;Evaluación de solicitud;0;Eval. sol.
10;Requerimiento Documentación Solicitud;0;Req. Doc. Sol.
1;Presentación Solicitud;0;Present. Sol.
