NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
100;Fin de Procedimiento;1;Fin proc.
286;Presentación Solicitud de Desistimiento;0;Present. Sol. Desist.
155;Propuesta Resolucion de inadmisión;0;Prop. Resol. inadmisión
82;Pago - Reconocimiento de Obligación;0;Pag. - Reconocimiento Obligación
55;Resolucion Inadmision;0;Resol. Inadmision
53;Resolución de renuncia;0;Resol. renuncia
52;Resolucion Desistimiento;0;Resol. Desist.
51;Resolucion Desfavorable;0;Resol. Desfavorable
50;Resolucion Favorable;0;Resol. Favorable
43;Propuesta de Resolucion Desfavorable Definitiva;0;Prop. Resol. Desfavorable Defin.
42;Propuesta de Resolucion Favorable Definitiva;0;Prop. Resol. Favorable Defin.
41;Propuesta de Resolucion Desfavorable Provisional;0;Prop. Resol. Desfavorable Provis.
40;Propuesta de resolucion Favorable Provisional;0;Prop. res. Favorable Provis.
30;Evaluación de Solicitud;0;Eval. Sol.
25;Trámite de audiencia;0;Trám. audiencia
21;Presentación de Renuncia;0;Present. Renun.
10;Requerimiento de documentación;0;Req. doc.
1;Presentación de la solicitud;0;Present. sol.
