NUMTRAM;DENOMINACION;FINAL;DENOMINACION_SIMPLE
0;Registro Sol.;0;Reg. Sol.
100;Fin de procedimiento;1;Fin proc.
287;Seguimiento ;0;Seguimiento 
287;Seguimiento tercer año;0;Seguimiento tercer año
286;Presentación Solicitud Desistimiento;0;Present. Sol. Desist.
156;Inicio Procedimiento Reintegro;0;Inic. proc. Reintegro
156;Inicio de procedimiento de reintegro segundo año;0;Inic. proc. reintegro segundo año
156;Inicio de procedimiento de reintegro;0;Inic. proc. reintegro
156;Inicio de procedimiento de reintegro tercer año;0;Inic. proc. reintegro tercer año
155;Propuesta Resolución de inadmisión;0;Prop. Resol. inadmisión
82;Pago;0;Pag.
62;Resolución de admisión de subrogación;0;Resol. admisión subrogación
62;Resolución denegatoria con subrogación;0;Resol. denegatoria subrogación
61;Informe desfavorable de sustitución;0;Inf. desfavorable sustitución
61;Informe favorable de sustitución;0;Inf. favorable sustitución
55;Resolución de inadmisión;0;Resol. inadmisión
53;Resolución de Renuncia;0;Resol. Renun.
52;Resolución de Desistimiento;0;Resol. Desist.
52;Aceptación de Desistimiento;0;Aceptación Desist.
51;Resolución denegatoria por incumplimiento requisitos;0;Resol. denegatoria incumplimiento requisitos
51;Resolución denegatoria por falta de presupuesto;0;Resol. denegatoria falta presupuesto
50;Resolución concesión;0;Resol. concesión
43;Propuesta Resolución Denegatoria por falta de presupuesto;0;Prop. Resol. Deneg. falta presupuesto
42;Propuesta Resolución de Concesión;0;Prop. Resol. Conce.
30;Evaluación de solicitud;0;Eval. sol.
30;Evaluación de sustitución;0;Eval. sustitución
30;Evaluación de subrogación;0;Eval. subrogación
25;Trámite de audiencia (propuesta denegatoria);0;Trám. audiencia (propuesta denegatoria)
21;Presentación de Renuncia;0;Present. Renun.
12;Presentación de subrogación;0;Present. subrogación
11;Presentación de sustitución;0;Present. sustitución
10;Requerimiento documentación (Subrogación);0;Req. doc. (Subrogación)
10;Requerimiento documentación solicitud;0;Req. doc. sol.
1;Presentación de solicitud;0;Present. sol.
